"FID","Trt","AttackBugYN","LatencyAttack","CarapaceWidth","Mass","Fcondition"
17102,"RedAverse",0,NA,1.645,0.0265,-0.00641141342243064
17103,"RedPreference",1,44.3166666666667,1.487,0.0299,0.00423879930932162
17104,"RedAverse",0,NA,1.505,0.0306,0.00411282570697011
17105,"RedPreference",1,15.25,1.511,0.0226,-0.00416249882714706
17106,"RedAverse",1,41.0833333333333,1.444,0.0318,0.0081119584704947
17107,"RedPreference",1,0.7,1.416,0.0348,0.0123968062963748
17108,"RedAverse",1,13.75,1.368,0.0221,0.00189940256931221
17109,"RedPreference",1,1.35,1.494,0.03,0.00401758735285159
17111,"RedAverse",0,NA,1.548,0.0305,0.00203966654579703
17112,"RedPreference",1,1.16666666666667,1.374,0.0217,0.00122407803519504
17113,"RedPreference",0,NA,1.361,0.0183,-0.00157938547421775
17114,"RedAverse",0,NA,1.37,0.0287,0.00840762772460649
17115,"RedAverse",0,NA,1.588,0.0286,-0.00169583034831745
17117,"RedPreference",1,0.583333333333333,1.519,0.0378,0.01067040179403
17118,"RedAverse",1,63.65,1.501,0.0247,-0.00160362460361844
17119,"RedAverse",1,5.61666666666667,1.436,0.0165,-0.00682094215068241
17121,"RedAverse",1,30.5166666666667,1.647,0.025,-0.00800318826713631
17122,"RedPreference",0,NA,1.426,0.0204,-0.00246206792715378
17123,"RedPreference",1,42.1666666666667,1.411,0.022,-0.000173756591860858
17124,"RedAverse",0,NA,1.539,0.0273,-0.000747346653027201
17126,"RedPreference",0,NA,1.359,0.0169,-0.00288761062951203
17128,"RedPreference",1,41.4,1.356,0.0185,-0.00114994836245345
17130,"RedAverse",0,NA,1.533,0.0272,-0.000572022118910031
17131,"RedPreference",1,90.2166666666667,1.466,0.0235,-0.00119756482126827
17132,"RedPreference",1,1.88333333333333,1.555,0.0303,0.001518454589327
17133,"RedPreference",1,1.78333333333333,1.459,0.0228,-0.00157635286479824
17134,"RedAverse",0,NA,1.52,0.0364,0.00922451437167718
17135,"RedPreference",1,2.93333333333333,1.528,0.0247,-0.00284258500714572
17137,"RedAverse",0,NA,1.488,0.0329,0.00719291188696876
17139,"RedPreference",0,NA,1.45,0.0177,-0.00626336606362248
17140,"RedAverse",1,98.2,1.632,0.0257781818181818,-0.00653669511366156
17141,"RedAverse",1,4.55,1.615,0.0336,0.00206520924815527
17142,"RedAverse",1,3.58333333333333,1.578,0.0234,-0.00643695612478883
17143,"RedPreference",1,30.95,1.417,0.0179,-0.00454908112597803
17149,"RedAverse",0,NA,1.436,0.0281,0.00477905784931759
17151,"RedAverse",1,22.0833333333333,1.452,0.0251,0.0010448590916718
17152,"RedAverse",0,NA,1.577,0.0301,0.000308931297564034
17153,"RedPreference",0,NA,1.535,0.0221,-0.00576379696361575
17154,"RedPreference",1,0.733333333333333,1.53,0.0367,0.00906564014814856
17155,"RedPreference",1,1.4,1.379,0.0224,0.00169464092343073
17156,"RedPreference",1,115.03,1.46,0.0259,0.0014777597128489
17158,"RedPreference",1,14.2666666666667,1.467,0.0227,-0.00204345224362114
17159,"RedAverse",0,NA,1.368,0.0188,-0.00140059743068779
17160,"RedAverse",1,28.5833333333333,1.47,0.0281,0.00321888548932028
17161,"RedPreference",0,NA,1.458,0.0149,-0.00943046544244537
17162,"RedPreference",1,1.43333333333333,1.523,0.0396,0.0122868521046186
17163,"RedAverse",0,NA,1.347,0.0141,-0.00513696156127768
17164,"RedPreference",1,16.1833333333333,1.631,0.0323,3.10104905094818e-05
17165,"RedPreference",1,9.08333333333333,1.389,0.0343,0.0131357666999021
17166,"RedAverse",1,2.53333333333333,1.441,0.0164,-0.00715037926244672
17167,"RedAverse",1,36.4833333333333,1.313,0.0206,0.00292321079871963
17168,"RedPreference",1,6.78333333333333,1.382,0.0156,-0.00524302134362785
17169,"RedPreference",1,1.96666666666667,1.545,0.0354,0.00707732881285563
17170,"RedAverse",1,2.43333333333333,1.417,0.0148,-0.00764908112597803
17171,"RedAverse",1,115,1.363,0.0159,-0.00407116031892347
17172,"RedAverse",1,23.5666666666667,1.521,0.0225,-0.00472137305067569
17173,"RedPreference",0,NA,1.405,0.0171,-0.00479843205774368
17174,"RedAverse",0,NA,1.528,0.0263,-0.00124258500714572
17175,"RedPreference",1,1.1,1.545,0.0237,-0.00462267118714438
17186,"RedPreference",0,NA,1.443,0.0192,-0.00444215410715245
17188,"RedAverse",1,26.6833333333333,1.713,0.0367,0.000668241857574786
17189,"RedPreference",0,NA,1.562,0.0425,0.013397242632857
17190,"RedAverse",0,NA,1.526,0.0389,0.01144918983756
17191,"RedPreference",1,0.233333333333333,1.605,0.0459,0.0148240834716839
17192,"RedPreference",0,NA,1.462,0.0167,-0.00781401513185682
17193,"RedPreference",0,NA,1.541,0.0211,-0.00703912149773293
17194,"RedAverse",0,NA,1.487,0.0282,0.00253879930932162
17195,"RedAverse",1,63.4,1.557,0.027,-0.00187332025537872
17196,"RedPreference",1,21.1166666666667,1.501,0.0291,0.00279637539638156
17200,"RedAverse",1,33.0666666666667,1.495,0.0198,-0.00622830006950128
17202,"RedPreference",1,5.86666666666667,1.546,0.0434,0.0150314413905028
17203,"RedAverse",0,NA,1.459,0.0282,0.00382364713520176
17204,"RedPreference",1,7.75,1.472,0.0266,0.00162711064461456
17206,"RedAverse",0,NA,1.423,0.0206,-0.0021244056600952
17207,"RedPreference",0,NA,1.466,0.0211,-0.00359756482126827
17209,"RedAverse",1,39.95,1.473,0.0235,-0.00151877677773831
17210,"RedAverse",0,NA,1.426,0.0312,0.00833793207284621
17211,"RedPreference",0,NA,1.436,0.0188,-0.00452094215068241
17223,"RedPreference",1,46.7833333333333,1.545,0.0301,0.00177732881285562
17224,"RedPreference",0,NA,1.59,0.0272,-0.00318760519302318
17226,"RedPreference",1,0.333333333333333,1.581,0.0299,-7.46183918474131e-05
17227,"RedPreference",1,39.95,1.444,0.0177,-0.0059880415295053
17236,"RedAverse",0,NA,1.588,0.0231,-0.00719583034831745
17239,"RedPreference",0,NA,1.484,0.0196,-0.00592353842361979
17241,"RedPreference",0,NA,1.576,0.0264,-0.00334518128008311
17249,"RedAverse",0,NA,1.448,0.0204,-0.00347159121891675
17250,"RedPreference",0,NA,1.456,0.0367,0.0124613094022604
17252,"RedAverse",0,NA,1.592,0.0341,0.0036206199622711
17253,"RedAverse",0,NA,1.394,0.019,-0.0023936704118622
17254,"RedPreference",0,NA,1.64,0.0413,0.00861802368933373
17264,"RedPreference",1,0.766666666666667,1.444,0.0283,0.0046119584704947
17265,"RedAverse",1,119.85,1.504,0.0195,-0.00694128687067703
17266,"RedPreference",0,NA,1.521,0.0289,0.00167862694932432
17267,"RedPreference",0,NA,1.456,0.0255,0.00126130940226035
17269,"RedPreference",1,7.45,1.574,0.023,-0.00665340643537738
17270,"RedPreference",0,NA,1.436,0.0238,0.000479057849317596
17271,"RedPreference",0,NA,1.504,0.0196,-0.00684128687067703
17281,"RedAverse",0,NA,1.53,0.0258,-0.00183435985185145
17282,"RedAverse",0,NA,1.457,0.0183,-0.00598457802009252
17283,"RedPreference",0,NA,1.588,0.0316,0.00130416965168255
17284,"RedAverse",0,NA,1.559,0.0323,0.00333490489991556
17285,"RedPreference",1,20.0333333333333,1.593,0.0251,-0.00542526746008176
17286,"RedPreference",1,0.866666666666667,1.569,0.0238,-0.00562396932361307
17294,"RedAverse",0,NA,1.51,0.0228,-0.0039166114047942
17295,"RedPreference",0,NA,1.545,0.0327,0.00437732881285562
17297,"RedAverse",0,NA,1.5,0.0226,-0.00365773718126558
17298,"RedPreference",0,NA,1.587,0.0373,0.00705005707403541
17299,"RedPreference",1,21.2833333333333,1.475,0.0205,-0.00461055162244403
17301,"RedPreference",0,NA,1.472,0.0178,-0.00717288935538544
17318,"RedAverse",0,NA,1.568,0.0277,-0.00167808190126021
17319,"RedAverse",1,20.7666666666667,1.492,0.0238,-0.00209063780244268
17320,"RedPreference",0,NA,1.562,0.0423,0.013197242632857
17323,"RedAverse",0,NA,1.467,0.0223,-0.00244345224362114
17337,"RedPreference",1,3.51666666666667,1.665,0.0326,-0.00122916186948784
17340,"RedPreference",1,38.0333333333333,1.425,0.027,0.00418381949519907
17341,"RedAverse",0,NA,1.532,0.0189,-0.00882613469655717
17342,"RedPreference",1,28.0333333333333,1.463,0.0181,-0.00645990255420969
17343,"RedPreference",1,0.416666666666667,1.511,0.0333,0.00653750117285294
17404,"RedAverse",0,NA,1.614,0.0297,-0.00178890332949187
17406,"RedPreference",1,10.05,1.626,0.026,-0.00603955239772621
17408,"RedAverse",1,28.28,1.675,0.0294,-0.00488803609301646
17409,"RedPreference",1,0.27,1.688,0.0305,-0.00438457258360366
17411,"RedAverse",0,NA,1.556,0.0299,0.00107256716697414
17414,"RedAverse",0,NA,1.612,0.0375,0.00610287151521385
17484,"RedPreference",0,NA,1.465,0.0345,0.00984832260108459
