"FID","TrialDate","Trt","AttackNewRedYN","AttackGreyBlackYN","LatencyAttack","DidNotAttackAnyYN","Remarks"
102,2017-08-14,"RedAverse",0,1,4.88333333333333,0,NA
104,2017-08-22,"RedAverse",1,0,27.4333333333333,0,"the red termite she attacked was on its back so the color may not have been visible, it was unclear if she attacked a grey termite at the same time or not"
106,2017-08-04,"RedAverse",0,1,24.9666666666667,0,NA
107,2017-08-04,"RedPreference",1,0,0.833333333333333,0,NA
108,2017-07-27,"RedAverse",1,0,25.5833333333333,0,"attack first red and then grey and try to consum both at the same time"
109,2017-07-27,"RedPreference",1,0,0.366666666666667,0,NA
111,2017-08-07,"RedAverse",0,1,0.5,0,NA
112,2017-08-07,"RedPreference",0,1,13.7333333333333,0,"tried to attack bugs in vial a couple of times"
113,2017-08-03,"RedPreference",1,0,32.55,0,"one grey termite became stuck on back part way through test (0:30:29)"
114,2017-08-11,"RedAverse",1,0,23.2166666666667,0,NA
115,2017-08-03,"RedAverse",0,1,2.15,0,NA
117,2017-08-11,"RedPreference",1,0,0.433333333333333,0,NA
118,2017-07-27,"RedAverse",0,1,1.16666666666667,0,"attack red then consumed grey"
121,2017-08-10,"RedAverse",0,1,5.08333333333333,0,NA
122,2017-08-29,"RedPreference",1,0,53.4333333333333,0,NA
123,2017-08-06,"RedPreference",0,1,5.73333333333333,0,NA
124,2017-08-06,"RedAverse",1,0,13.8,0,"also tracked another red and attacked and immediately let go of a black at 0:15:14"
126,2017-08-26,"RedPreference",0,0,NA,1,NA
126,2017-08-27,"RedPreference",0,1,124.666666666667,0,NA
128,2017-07-27,"RedPreference",0,1,0.716666666666667,0,NA
130,2017-08-30,"RedAverse",1,0,3.65,0,NA
131,2017-08-05,"RedPreference",0,1,5.98333333333333,0,NA
132,2017-08-10,"RedPreference",1,0,5.01666666666667,0,NA
133,2017-09-07,"RedPreference",0,1,6.98333333333333,0,NA
134,2017-08-26,"RedAverse",1,0,7.81666666666667,0,NA
135,2017-08-10,"RedPreference",0,1,18.4666666666667,0,NA
137,2017-08-07,"RedAverse",0,1,2.53333333333333,0,NA
139,2017-08-17,"RedPreference",1,0,0.983333333333333,0,NA
140,2017-08-17,"RedAverse",0,1,1.05,0,NA
141,2017-08-05,"RedAverse",0,1,9.73333333333333,0,NA
142,2017-08-11,"RedAverse",0,1,2.75,0,NA
143,2017-08-05,"RedPreference",0,1,10.3,0,NA
149,2017-08-05,"RedAverse",0,1,7.73333333333333,0,"tracked greys for a long time before attacking, tracked a red for a short amount of time as well"
151,2017-08-03,"RedAverse",0,1,5.96666666666667,0,NA
152,2017-08-22,"RedAverse",0,1,18.8666666666667,0,NA
153,2017-08-03,"RedPreference",0,1,19.9166666666667,0,NA
154,2017-08-07,"RedPreference",1,0,3.7,0,NA
155,2017-08-12,"RedPreference",0,1,0.433333333333333,0,NA
156,2017-10-22,"RedPreference",0,1,11.97,0,NA
158,2017-07-21,"RedPreference",1,0,11.7666666666667,0,NA
159,2017-07-21,"RedAverse",0,1,39.5,0,NA
160,2017-07-15,"RedAverse",1,0,5.78333333333333,0,NA
161,2017-07-16,"RedPreference",0,0,NA,1,NA
161,2017-07-17,"RedPreference",0,0,NA,1,"lost video during transfer (but no attack anyways)"
161,2017-07-18,"RedPreference",1,0,276.65,0,NA
162,2017-07-17,"RedPreference",1,0,25.1333333333333,0,NA
163,2017-07-16,"RedAverse",1,0,1.65,0,NA
164,2017-07-15,"RedPreference",0,1,1.51666666666667,0,NA
165,2017-07-16,"RedPreference",1,0,1.01666666666667,0,NA
166,2017-07-16,"RedAverse",0,1,15.65,0,NA
167,2017-07-15,"RedAverse",0,1,36.6666666666667,0,NA
168,2017-07-15,"RedPreference",1,0,13.6666666666667,0,NA
169,2017-07-16,"RedPreference",0,1,0.766666666666667,0,NA
170,2017-07-17,"RedAverse",1,0,4.76666666666667,0,NA
171,2017-07-17,"RedAverse",0,0,NA,1,NA
171,2017-07-18,"RedAverse",0,0,NA,1,NA
172,2017-07-15,"RedAverse",1,0,14.1333333333333,0,"first attacked Grey then consumed Red"
173,2017-07-17,"RedPreference",0,1,0.566666666666667,0,NA
174,2017-07-16,"RedAverse",1,0,1,0,"attacked at 1 min, dropped, then attacked same one 5 seconds later"
175,2017-07-15,"RedPreference",1,0,18.3166666666667,0,NA
186,2017-08-23,"RedPreference",1,0,48.8333333333333,0,"the termite that was attacked was stuck on its back beginning at 16:57 of part2"
188,2017-08-30,"RedAverse",0,1,1.36666666666667,0,NA
190,2017-08-17,"RedAverse",1,0,3.45,0,NA
191,2017-08-17,"RedPreference",1,0,7.76666666666667,0,NA
192,2017-08-30,"RedPreference",0,1,8.35,0,NA
193,2017-08-31,"RedPreference",1,0,79.9666666666667,0,NA
194,2017-08-12,"RedAverse",0,0,NA,1,NA
194,2017-08-13,"RedAverse",0,1,130.233333333333,0,NA
195,2017-08-22,"RedAverse",1,0,21.0833333333333,0,"jumped onto a red and black, but captured the red"
196,2017-08-10,"RedPreference",0,1,43.2333333333333,0,NA
200,2017-08-17,"RedAverse",0,1,3.71666666666667,0,NA
202,2017-08-11,"RedPreference",1,0,0.366666666666667,0,NA
203,2017-08-10,"RedAverse",0,1,5.01666666666667,0,NA
204,2017-08-12,"RedPreference",0,1,10.8666666666667,0,NA
206,2017-08-29,"RedAverse",0,1,4.21666666666667,0,NA
207,2017-08-31,"RedPreference",0,0,NA,1,NA
207,2017-09-01,"RedPreference",1,0,122.133333333333,0,NA
209,2017-08-19,"RedAverse",0,1,15.7333333333333,0,NA
210,2017-08-12,"RedAverse",1,0,1.63333333333333,0,NA
211,2017-09-05,"RedPreference",0,1,1.46666666666667,0,"look at red and grey carefully before attacking grey"
223,2017-08-23,"RedPreference",1,0,4.15,0,"Consumed Red then Grey"
224,2017-09-22,"RedPreference",1,0,10.4166666666667,0,NA
226,2017-08-14,"RedPreference",0,1,1.85,0,NA
227,2017-08-19,"RedPreference",1,0,94.3,0,NA
236,2017-08-24,"RedAverse",1,0,17.25,0,NA
241,2017-08-22,"RedPreference",0,0,NA,1,NA
241,2017-08-26,"RedPreference",0,0,NA,1,NA
241,2017-08-27,"RedPreference",1,0,334.4,0,"Bugs in tube were removed"
249,2017-08-23,"RedAverse",0,1,6.26666666666667,0,NA
250,2017-08-30,"RedPreference",1,0,1.15,0,NA
252,2017-08-26,"RedAverse",1,0,16.0166666666667,0,NA
253,2017-08-23,"RedAverse",1,0,36.1,0,NA
254,2017-08-29,"RedPreference",1,0,6.2,0,NA
264,2017-08-26,"RedPreference",1,0,0.433333333333333,0,NA
265,2017-09-03,"RedAverse",1,0,3.76666666666667,0,NA
266,2017-09-12,"RedPreference",0,0,NA,1,NA
266,2017-09-13,"RedPreference",0,0,NA,1,NA
266,2017-09-14,"RedPreference",0,0,NA,1,NA
266,2017-09-15,"RedPreference",0,0,NA,1,NA
266,2017-09-16,"RedPreference",0,0,NA,1,NA
266,2017-09-17,"RedPreference",0,0,NA,1,NA
266,2017-09-18,"RedPreference",1,0,835,0,"video stopped before - ate the termite when put on the petri dish and removed bug, 5 min before 2hours"
267,2017-09-03,"RedPreference",0,1,1.93333333333333,0,NA
269,2017-09-05,"RedPreference",1,0,11.8333333333333,0,NA
270,2017-09-12,"RedPreference",1,0,8.96666666666667,0,NA
271,2017-09-07,"RedPreference",0,0,NA,1,NA
271,2017-09-08,"RedPreference",0,0,NA,1,"fed sunflower bug in prep of hurrican, next test planned on 9/12"
271,2017-09-12,"RedPreference",0,0,NA,1,NA
271,2017-09-13,"RedPreference",1,0,462.666666666667,0,NA
281,2017-08-29,"RedAverse",0,1,1.41666666666667,0,NA
282,2017-09-22,"RedAverse",0,1,11,0,NA
283,2017-09-12,"RedPreference",0,1,2.6,0,NA
284,2017-09-03,"RedAverse",0,1,24.0333333333333,0,"one of the grey termites died during test"
285,2017-09-12,"RedPreference",1,0,17.45,0,NA
286,2017-09-03,"RedPreference",0,1,4.95,0,NA
295,2017-09-12,"RedPreference",1,0,24.25,0,NA
297,2017-08-31,"RedAverse",0,1,1.63333333333333,0,NA
298,2017-09-12,"RedPreference",1,0,13.8166666666667,0,NA
299,2017-09-12,"RedPreference",0,1,3.68333333333333,0,NA
301,2017-09-04,"RedPreference",0,1,11.8833333333333,0,NA
318,2017-09-04,"RedAverse",0,1,43.8166666666667,0,NA
319,2017-09-22,"RedAverse",1,0,5.66666666666667,0,NA
320,2017-09-04,"RedPreference",0,0,NA,1,NA
320,2017-09-05,"RedPreference",0,0,NA,1,NA
320,2017-09-06,"RedPreference",1,0,243.233333333333,0,NA
323,2017-09-12,"RedAverse",0,0,NA,1,NA
323,2017-09-13,"RedAverse",0,1,124.2,0,NA
337,2017-09-22,"RedPreference",0,1,0.766666666666667,0,NA
340,2017-09-12,"RedPreference",0,1,42.3,0,NA
341,2017-10-08,"RedAverse",1,0,12.68,0,NA
342,2017-09-07,"RedPreference",0,1,2.51666666666667,0,NA
343,2017-09-12,"RedPreference",0,1,6.86666666666667,0,"struck at a red tentatively once. Then at the grey twice before capturing and eating it"
404,2017-10-20,"RedAverse",0,1,1.57,0,NA
406,2017-10-20,"RedPreference",1,0,76.07,0,NA
408,2017-10-22,"RedAverse",0,1,108.52,0,NA
409,2017-10-20,"RedPreference",1,0,0.27,0,NA
411,2017-10-22,"RedAverse",0,1,14.28,0,NA
414,2017-10-20,"RedAverse",0,1,1.22,0,NA
